Term	Notes	Russian
card_paper_status_0		Изготовление бумаги	
card_petting_zoo_description		Генерирует счастье для каждого животного	
card_petting_zoo_name		Зоопарк	
card_petting_zoo_status_0		Строительство зоопарка	
card_petting_zoo_status_active		Поглаживание животных	
card_pizza_description		Да, черт возьми	
card_pizza_name		Пицца	
card_pizza_status_0		Приготовление пиццы	
card_plague_mask_description		Вы не можете заболеть	
card_plague_mask_name		Чумная маска		
card_plague_mask_status_0		Изготовление маски чумы	
card_poop_cant_sell		Вы не можете продавать какашки, когда действует Проклятие смерти	
card_poop_slime_description		Слизь из какашек	
card_poop_slime_name		Какашечная слизь	
card_possessed_blade_description		Заставляет своего владельца чувствовать себя неспокойно	
card_possessed_blade_name		Одержимый клинок	
card_puppy_description		Это восхитительно	
card_puppy_name		Щенок	
card_rag_description		Плохо сидящий кусок хлопка	
card_rag_name		Тряпка	
card_roasted_fish_description		Хорошо подрумяненная	
card_roasted_fish_name		Жареная рыба	
card_roasted_fish_status_0		Жареная рыба	
card_roasted_meat_description		Хрустящий снаружи	
card_roasted_meat_name		Жареное мясо	
card_roasted_meat_status_0		Жарка мяса	
card_royal_archer_description		Обучался на территории замка	
card_royal_archer_name		Королевский лучник	
card_royal_banquet_description		Очень вкусная еда в сочетании	
card_royal_banquet_name		Королевский банкет	
card_royal_banquet_status_0		Подготовка королевского банкета	
card_royal_crown_description		Придает вам силы и делает вас жадным	
card_royal_crown_name		Королевская корона	
card_royal_description		Избалованный ребенок
card_royal_description_demand_2		Он требует, чтобы вы принесли ему яйцо дракона. Вернитесь к нему, когда получите его 	
card_royal_guard_description		Отдадут жизнь за королевский род	
card_royal_guard_name		Королевская гвардия	
card_royal_mage_description		Благородный волшебник	
card_royal_mage_name		Королевский маг	
card_royal_name		Король	
card_royal_tunic_description		Выглядит модно на поле боя	
card_royal_tunic_name		Туника гвардейца	
card_ruins_description		Древнее место. Требуется [required_count] деревенских жителя, которых нужно исследовать	
card_ruins_name		Руины	
card_ruins_status		Исследование руин	
card_sadness_demon_description		Он был создан благодаря печали ваших жителей	
card_sadness_demon_name		Демон печали	
card_scythe_description		Пригодится для ведения сельского хозяйства и рубки монстров	
card_scythe_name		Коса	
card_scythe_status_0		Изготовление косы	
card_sewer_description		Автоматически притягивает какашки	
card_sewer_name		Канализация	
card_sewer_status_0		Строительство канализации	
card_shaman_description		Беседы с духами	
card_shaman_name		Шаман	
card_shaman_status		Воспевание	
card_spirit_status_1		Покидая мир духов	
card_spring_description		Источник воды. Можно также использовать для наполнения пустых бутылок	
card_spring_name		Родник		
card_squire_description		Он несет ваш щит	
card_squire_name		Оруженосец	
card_squire_tunic_description		Для начинающих рыцарей	
card_squire_tunic_name		Туника Оруженосца	
card_squire_tunic_status_0		Создание туники Оруженосца	
card_stomping_vat_description		Сначала вымойте ноги	
card_stomping_vat_name		Топчущий чан
card_stomping_vat_status_0		Построение топчущего чана 
card_tavern_description		Превращает еду в счастье	
card_tavern_name		Таверна	
card_tavern_status_0		Подача еды	
card_teenage_villager_description		Мир прямо у ваших ног	
card_teenage_villager_name		Молодой житель деревни	
card_throwing_tomatos_description		Толпе это не понравилось	
card_throwing_tomatos_name		Помидоры	
card_throwing_tomatos_status_0		Изготовление томатов	
card_tomato_description		Красный, круглый и веселый
card_tomato_name		Помидор	
card_tomato_plant_description		Ешьте только красную часть	
card_tomato_plant_name		Растение томата	
card_tomato_plant_status		Сбор помидоров	
card_unhappiness_description		Заставляет деревенских жителей грустить##За каждую имеющуюся у вас карту грусти вам потребуется 1 дополнительное счастье	
card_unhappiness_name		Печаль	
card_university_description		Место мудрости. Дает вам новую идею за каждую [max_count] монет, которые вы отдадите	
card_water_description		Влажная жидкость	
card_water_name		Вода	
card_water_status_0		Получение воды	
card_wheat_description		Это трава для людей, но рай для животных	
card_wheat_name		Пшеница	
card_whip_description		В ближнем или дальнем бою? Кто знает	
card_whip_name		Кнут	
card_wine_description		От этого виноградного сока мне становится смешно	
card_wine_name		Вино	
card_wine_status_0		Изготовление вина	
card_winter_coat_description		Замечательно зимой	
card_winter_coat_name		Зимнее пальто		
card_winter_coat_status_0		Изготовление зимнего пальто	
card_wishing_well_description		Он исполняет желание за каждые [count] монет	
card_wool_dress_description		Платье, которое произведет впечатление	
card_wool_dress_name		Модный костюм	
card_wool_dress_status_0		Создание модного костюма	
card_wool_socks_description		На них маленькие кошачьи лапы!	
card_wool_socks_name		Фиолетовые носки	
card_wool_socks_status_0		Изготовление фиолетовых носков	
cardtype_happiness		Счастье	
cardtype_spirits		Духи и проклятия	
credits_cyber		Поддержка моддинга	
cursetype_death		Смерть	
cursetype_greed		Жадность	
cursetype_happiness		Счастье	
cutscene_death_end_text_0		«Я вижу, вы разблокировали новый пакет!»	
cutscene_death_end_text_1		«Я слышал, что в этом пакете содержится лекарство от моего проклятия».	
cutscene_death_middle_text_0		«Похоже, житель деревни умер от старости»	
cutscene_death_middle_text_1		«Всегда грустно видеть, как это происходит. Со мной он в безопасности»	
cutscene_death_middle_text_2		«Обязательно найдите новых жителей деревни, пока они все не умерли»	
cutscene_greed_end_text_0		«Яйцо дракона? Надеюсь, он готов к тому, что его ждет»	
cutscene_greed_middle_text_0		«Этот жадный король думает, что может требовать все...»	
cutscene_greed_middle_text_1		«Я уверен, что его требования скоро станут его погибелью»	
cutscene_happiness_end_text_0		«Я нашел способ избавиться от проклятия»	
cutscene_happiness_end_text_1		«Объедините 3 эйфории с проклятием печали»	
cutscene_happiness_end_text_2		«Вот идея для этого»	
cutscene_happiness_middle_text_1		«Если у нас будет больше счастья, мы сможем снять проклятие печали»	
demand_fancy_dress_start_text		«Я собираюсь подарить это платье очень красивой особе!»	
demand_fancy_dress_success_text		«Платье было идеальным подарком, ей очень понравилось! У меня всегда самые лучшие идеи!»	
greed_quest_demand_description_not_found		«Мой королевский советник проинструктирует вас, как получить то, что мне нужно»	
greed_quest_demand_failed		«Вы не выполнили мои требования!»	
greed_quest_demand_failed_2		«Что это такое? Вы не предоставили мне то, что я просил»	
greed_quest_demand_failed_3		«Мой запрос был очень конкретным, но я не вижу товара»	
greed_quest_demand_success		«Спасибо. Я не знал, что в тебе это есть»	
greed_quest_demand_success_2		«Ах, именно то, что мне было нужно...»	
greed_quest_demand_success_3		«Восхитительно! То, что я заказывал»	
greed_quest_demand_title		Королевские требования!	
idea_altar_status_0		Строительство алтаря	
idea_death_curse_fix_description		Снимает проклятие смерти	
idea_death_curse_fix_name		Снятие проклятие смерти	
idea_death_curse_fix_status_0		Снятие проклятия смерти	
idea_flour_mill_status_0		Строительство мукомольной мельницы	
idea_flour_status_0		Измельчение пшеницы	
idea_greed_curse_fix_description		Снимает проклятие жадности	
idea_greed_curse_fix_name		Снятие проклятие жадности	
idea_greed_curse_fix_status_0		Снятие проклятия жадности	
idea_growth_status_13		Выращивание пшеницы	
idea_growth_status_14		Выращивание виноградной лозы	
idea_growth_status_15		Выращивание оливкового дерева	
idea_growth_status_16		Выращивание томатного растения	
idea_growth_status_17		Растущее дерево	
idea_growth_status_18		Выращивание трав	
idea_happiness_curse_fix_description		Снимает проклятие печали	
idea_happiness_curse_fix_name		Снимает проклятие	
idea_happiness_curse_fix_status_0		Снятие проклятия печали	
idea_happiness_description		Быстрый и грязный способ получить Счастье	
idea_happiness_name		Счастье	
idea_happiness_result		Быстрый и грязный способ получить Счастье	
idea_happiness_status_0		Восхитительные монеты	
idea_happiness_status_1		Читать книгу	
idea_offspring_status_2		Создание котенка	
idea_oven_status_0		Строительство печи	
idea_tavern_status_0		Строительство таверны	
idea_unhappiness_status_0		Заставить деревенского жителя грустить	
ideagroup_death		Смерть	
ideagroup_greed		Жадность	
ideagroup_happiness		Счастье	
label_advanced_combat		Боевая статистика в игре: [on_off]	
label_advanced_settings		Дополнительные параметры	
label_age_villagers		С днем рождения!
label_altar_cutscene_help_false		Игнорировать	
label_altar_cutscene_help_spirit_false		«Пожалуйста, вызови меня снова, когда сможешь мне помочь»	
label_altar_cutscene_help_spirit_true		«Спасибо! Следуйте за мной в мой мир»
label_altar_cutscene_help_true		Помогите им	
label_altar_cutscene_text		«Я [spirit]. Можете ли вы помочь мне в моем мире?»	
label_altar_cutscene_title		Алтарь начинает грохотать	
label_angry_villager		Один из ваших жителей разозлился!
label_beat_curse_to_unlock		Снимите это проклятие, чтобы начать новый забег с ним	
label_buy_dlc_steam		Купить в Steam	
label_cardopedia_all		Все карты	
label_cardopedia_forest		Темный лес
label_cardopedia_island		Остров	
label_cardopedia_main		Оригинал	
label_cardopedia_modded		Моды	
label_cardopedia_order		Порядок и структура	
label_cardopedia_spirit		Проклятые миры	
label_change_board_disabled_text		В мире духов нельзя менять миры	
label_change_board_disabled_title		Travel disabled	
label_clicktodrag_enabled		Легкое перетаскивание	
label_clicktodrag_tooltip		Позволяет перетаскивать карты с помощью щелчка правой кнопкой мыши.# Щелкните правой кнопкой мыши один раз, чтобы начать перетаскивание, и щелкните правой кнопкой мыши еще раз, чтобы остановить перетаскивание.	
label_death_intro_1		«Добро пожаловать в мир смерти»	
label_death_intro_2		«Каждые несколько лун наши жители взрослеют»	
label_death_intro_3		«Состарившись, мы уходим из жизни...»	
label_death_intro_4		«Мы также можем заболеть, если вокруг слишком много какашек»	
label_death_intro_5		«Вы можете снять наше проклятие?»	
label_death_intro_title		Проклятие смерти?	
label_demand_collected		«Поехали»	
label_demand_collected_2		«Вижу! Поехали!»	
label_demand_complete_start		«Пора собирать! Надеюсь, у вас есть все!»	
label_enable_curse_unknown		Проклятие ???: Off	
label_enable_death_curse		Проклятие смерти: [on_off]	
label_enable_greed_curse		Проклятие жадности: [on_off]	
label_enable_happiness_curse		Проклятие печали: [on_off]	
label_enabled_curses		Включенные проклятия		
label_everyone_angry		Вся ваша деревня пришла в ярость!	
label_everyone_spirit_world_dead		Все в мире духов погибли	
label_everyone_spirit_world_dead_text		Возвращение к алтарю	
label_everyone_spirit_world_dead_text_retry		Вы можете вернуться в этот мир духов, используя Алтарь	
label_final_demand_end_text		«Я сомневался, что ты достанешь мне яйцо дракона, но вот ты здесь!»	
label_final_demand_end_text_2		*В скорлупе появляется трещина*
label_final_demand_end_text_3		«Что это? Трещина в МОЕМ яйце дракона? Немедленно достаньте мне новое!»	
label_final_demand_end_text_4		Яйцо снова трескается...	
label_final_demand_end_text_5		«Как тебе не стыдно...»	
label_final_demand_end_text_6		Яйцо разбивается!	
label_final_demand_end_text_7		Это дракон!	
label_final_demand_end_text_8		Одним сильным взмахом дракон уничтожает королевский	
label_final_demand_merchant		Появился торговец
label_final_demand_text		«У меня есть все, но этого недостаточно...»
label_final_demand_text_2		«Я хочу больше еды, больше развлечений и больше ценностей!»	
label_final_demand_text_3		«Мой близкий друг получил на день рождения яйцо Феникса... Я хочу что-нибудь получше!»	
label_final_demand_text_4		«В городе есть торговец, и он продает яйцо дракона! Принеси его мне!»	
label_forest_update		Темный лес	
label_fountain_text		Фонтан не дает вашим жителям стареть	
label_fountain_title		Фонтан молодости	
label_giving_happiness	nog over nadenken	Дарить счастье...	
label_greed_demand_failed_fight		«Мне придется преподать тебе урок... Стража!!!»	
label_greed_demand_failed_first_time		«Это твой первый проступок, поэтому я оставлю все как есть. Больше так не делай!»	
label_greed_intro_1		«Добро пожаловать в мир жадности»	
label_greed_intro_2		«Это Жадный Королевский...»	
label_greed_intro_3		«Начиная со следующей луны, он будет требовать все, что пожелает его сердце»	
label_greed_intro_4		«Если вы не будете служить королю, он пошлет своих королевских гвардейцев»	
label_greed_intro_5		«Помогите мне избавиться от него, чтобы снять наше проклятие!»	
label_greed_intro_title		Мир жадности	
label_greed_lift_curse		«К счастью, дракон не съел королевскую корону»	
label_greed_lift_curse_2		«Королевская корона - самый ценный предмет во всем мире...»	
label_greed_lift_curse_3		«Однако вы не сможете снять проклятие без королевской короны...»	
label_greed_lift_curse_kill_royal		«Надо же, тебе удалось убить короля, и он уронил свою корону!»	
label_greed_new_villager		«Вы работаете слишком медленно, чтобы мне это нравилось...»	
label_greed_new_villager_2		«Вот дополнительная помощь... А теперь поехали!»	
label_greed_outro_wear_crown		«Ты не можешь носить королевскую корону, я не позволю»	
label_happiness_infobox		В конце луны вам понадобятся [required_happiness_count] [happinessicon] чтобы ваши жители были счастливы	
label_happiness_infobox_warning		Получите [happinessicon], чтобы их демоны не появились!	
label_happiness_intro_1		«Добро пожаловать в мир печали»	
label_happiness_intro_2		«Каждую луну нашим жителям нужно счастье»	
label_happiness_intro_3		«Различные действия подарят им счастье»	
label_happiness_intro_4		«Если жители деревни не получают достаточно счастья, появляются их демоны»	
label_happiness_intro_5		«Вы можете снять наше проклятие?»	
label_happiness_intro_title		Мир печали	
label_happiness_return_0		Вы хотите вернуться на материк?	
label_happiness_warning		Вам нужно [count] Счастье к концу следующей луны!	
label_island_update		Остров	
label_its_the_spirit		Это дух!	
label_magic_lore		Фокупс покус!	
label_magic_title		Магическая атака	
label_main_game		Оригинал	
label_melee_lore		Близкое и личное	
label_melee_title		Атака в ближнем бою	
label_menu_spirit_title		Проклятые миры	
label_menu_spirit_title_locked		Проклятые миры уже в продаже!	
label_missing_cards_text		Не удалось загрузить следующие карты, вероятно, из-за отсутствующего мода: [missing].##Хотите ли вы продолжить забег? Некоторые карты могут отсутствовать.	
label_missing_cards_title		Отсутствующие карты	
label_mod_update_type		Карточка с модификацией
label_mods		Моды	
label_mods_enable_title		Переключение модов	
label_name_villager_text		Не привязывайтесь слишком сильно!	
label_new_villager		Новый житель
label_new_villager_death		A lonely Villager decided to settle in your village	
label_new_villager_happiness		A new Villager heard about your happy village, and decided to settle here!	
label_not_everyone_happy		Некоторые жители деревни не получили достаточно счастья...	
label_open_workshop		Открыть мастерскую	
label_random_name		Случайный выбор	
label_ranged_lore		Атака на расстоянии	
label_ranged_title		Атака дальнего боя	
label_return_from_spirit_world_text		Вы уверены, что хотите покинуть этот мир духов? Мир перезагрузится, когда вы уйдете	
label_return_from_spirit_world_title		Возвращение...	
label_sadness_demon_text		У тебя было слишком много печали!	
label_sadness_demon_title		Появился Демон Печали	
label_screenshake_enabled		Включено сотрясение экрана 
label_shaman_appeared		Шаман появился из ниоткуда	
label_shaman_intro		Что-то не так	
label_shaman_leaving_text		Шаман рассказал вам все, что знает, и покинет этот мир	
label_shaman_leaving_title		Шаман уходит	
label_spirit_dlc_not_installed_text		Получите доступ к новому контенту, купив DLC «Проклятые миры»	
label_spirit_dlc_not_installed_title		Проклятые миры DLC	
label_spirit_outro_1		«Спасибо, что помогли нам»
label_spirit_outro_2		«Теперь вы можете вернуться в свой старый мир»
label_spirit_outro_3		«Положите на меня все, что хотите вернуть...»
label_spirit_outro_4		«...и я верну тебя обратно»	
label_spirit_outro_choice_0		Продолжение здесь	
label_spirit_outro_choice_1		Возвращение на материк 	
label_spirit_update		Обновление духа	
label_time_infobox		Теперь элементы управления могут быть переброшены, так что параметры будут заменены соответствующей клавишей	Текущее время. Есть [time_left] оставшиеся в этой луне.##Использовать [action_time_pause] сделать паузу или использовать [action_time_toggle] для переключения между игровыми скоростями	
label_try_attack_royal_description		Будьте осторожны...	
label_try_attack_royal_description_4		Он не будет дружелюбным всегда...
label_try_attack_royal_description_8		Последнее предупреждение!	
label_try_attack_royal_title		Разгневать королевскую особу
label_update_text_spirit		Спасибо за покупку DLC «Проклятые миры»! ##Путешествуйте в три разных мира, где жителей преследуют коварные проклятия! Постройте свою деревню, а затем используйте новые карты и пакеты карт, чтобы снять проклятие! ##<i>DLC content is accessible after having completed the game's first boss fight.</i>	
label_update_text_spirit_locked		Мы только что выпустили первое DLC Stacklands! Отправляйтесь в три разных мира, где жителей деревень преследуют коварные проклятия! Постройте свою деревню, а затем используйте новые карты и пакеты карт, чтобы снять проклятие! ##- 130+ новых карт#- 50+ новых квестов#- 15 новых пакетов карт#- 3-5 часов игрового времени
label_update_title_spirit		Проклятые миры	
label_villager_age_birthday		Некоторые жители деревни постарели
label_villager_age_description		<one>Возраст: 1 Луна<other>Возраст: [age] Лун	
label_villager_food_poisoning		[villager] получил пищевое отравление...
label_villager_old		Старый [villager]
label_villager_old_age_death		[villager] умер от старости	
label_villager_sick		[villager] болеет...
label_villager_young		Молодой [villager]	
label_wow		Вау!
pack_death_animals_text		Жизнь животных	
pack_death_basic_text		Повседневная жизнь	
pack_death_ideas_1_text		Мудрость жизни	
pack_death_ideas_2_text		Глубокие мысли	
pack_death_intro_text		Жизнь коротка	
pack_death_locations_text		Конец	
pack_greed_basic1_text		Чистая жадность	
pack_greed_food_creatures_text		Благородные существа
pack_greed_ideas1_text		Королевский изобретатель
pack_greed_ideas2_text		Придворные приспособления
pack_greed_intro_text		Жадное интро
pack_greed_luxuries_text		Королевская роскошь
pack_happiness_creatures_text		Счастливые животные
pack_happiness_food_text		Душевная пища
pack_happiness_ideas1_text		Счастливые мысли
pack_happiness_ideas2_text		Счастлива до конца
pack_happiness_intro_text		Счастливое начало
pack_happiness1_text		Простая жизнь
quest_3_succesfull_demands_text		Успешно выполните 3 требований
quest_5_succesfull_demands_text		Успешно выполните 5 требований
quest_8_succesfull_demands_text		Успешно выполните 8 требований	
quest_create_altar_text		Поговорите с шаманом, чтобы получить тайные знания	
quest_death_befriend_cat_text		Подружитесь с кошкой	
quest_death_breed_cow_text		Разводить корову	
quest_death_build_lumbercamp_text		Постройте лагерь из пиломатериалов	
quest_death_build_outhouse_text		Постройте флигель	Bouw een Plee	
quest_death_create_fountain_of_youth_text		Создайте фонтан молодости	
quest_death_cure_sick_villager_text		Вылечить больного жителя деревни	
quest_death_explore_ruins_text		Исследуйте руины	
quest_death_find_cure_text		Придумайте, как снять проклятие	
quest_death_find_fix_text		Снять проклятие смерти	
quest_death_have_3_cows_text		Заведите 3 коровы	
quest_death_have_3_poop_text		Have 3 Poop	
quest_death_make_cheese_text		Сделайте сыр	
quest_death_name_villager_text		Назовите жителя деревни	
quest_death_second_villager_text		Получите второго жителя деревни	
quest_death_third_villager_text		Сделайте ребенка, пока не поздно...	
quest_death_unlock_packs_text		Разблокируйте все пакеты	
quest_death_villager_old_age_dead_text		Пусть житель деревни умрет от старости	
quest_death_villager_old_text		Старый житель деревни	
quest_enter_death_world_text		Посетите мир смерти	
quest_enter_greed_world_text		Посетите мир жадности	
quest_enter_happiness_world_text		Посетите мир печали	
quest_fight_royal_guard_text		Сразитесь с королевскими гвардейцами	
quest_find_death_world_text		Узнайте, как вызвать Дух смерти.	
quest_find_greed_world_text		Узнайте, как вызвать Дух жадности.	
quest_find_happiness_world_text		Узнайте, как вызвать Дух печали.
quest_first_demand_text		Дождитесь первого требования королевской особы
quest_get_grape_text		Соберите свой первый виноград
quest_greed_brickyard_text		Постройте кирпичный двор
quest_greed_find_fix_text		Снять проклятие жадности
quest_greed_garden_text		Постройте сад
quest_greed_lumbercamp_text		Постройте лагерь для лесоматериалов 
quest_greed_mine_text		Постройте шахту	
quest_greed_oak_barrel_text		Сделайте бочку	
quest_greed_olive_oil_text		Сделайте оливковое масло	
quest_greed_quarry_text		Постройте каменоломню	
quest_greed_roasted_meat_text		Поджарьте мясо	
quest_greed_sawmill_text		Постройте лесопилку	
quest_greed_smelter_text		Постройте плавильню	
quest_greed_stomping_vat_text		Постройте чаны для топтания	
quest_greed_wine_text		Сделайте вино из винограда	
quest_greed_wool_text		Получение шерсти от овцы	
quest_happiness_admire_a_coin_text		Полюбуйтесь монетой	
quest_happiness_all_packs_text		Разблокируйте все пакеты счастья	
quest_happiness_bake_bread_text		Выпечка хлеба	
quest_happiness_bake_pizza_text		Приготовьте пиццу	
quest_happiness_build_charity_text		Создайте благотворительный фонд	
quest_happiness_build_garden_text		Постройте сад	
quest_happiness_build_museum_text		Постройте музей	
quest_happiness_build_tavern_text		Постройте таверну	
quest_happiness_create_flour_text		Создать муку	
quest_happiness_find_fix_text		Снять проклятие печали	
quest_happiness_get_2_happiness_text		2 счастья	
quest_happiness_have_1_unhappiness_text		1 печаль	
quest_happiness_have_10_unhappiness_text		10 печали	
quest_happiness_have_5_unhappiness_text		5 печали	
quest_happiness_make_dough_text		Приготовьте тесто	
quest_open_death_intro_pack_text		Откройте пакет	
quest_open_happiness_intro_pack_text		Откройте пакет	
quest_open_pack_text		Откройте свой первый пакет	
questgroup_death_mainquest		Жизнь и смерть	
questgroup_death_misc		Разное о смерти
questgroup_death_starter		Мир смерти	
questgroup_discover_spirits		Познакомьтесь с шаманом	
questgroup_greed_mainquest		Отдайте мне все!	
questgroup_greed_misc		Предметы, подходящие для королевской семьи	
questgroup_greed_starter		Мир алчности	
questgroup_greed_thriving		Достойное королевство	
questgroup_happiness_collecting		Веселые штучки	
questgroup_happiness_cooking		Хорошая еда	
questgroup_happiness_mainquest		Держите их счастливыми	
questgroup_happiness_starter		Мир печали	
questgroup_happiness_unhappy		Так грустно	
specialhit_anxious_long		[chance]% шанс сделать [target] сердитым	
statuseffect_angry_description		Рассерженные жители деревни будут сражаться с другими жителями	
statuseffect_angry_lore		Слишком долго грустит	
statuseffect_angry_name		Сердитый	
statuseffect_anxious_description		Значительно снижает скорость работы	
statuseffect_anxious_lore		Они чувствуют себя не в своей тарелке	
statuseffect_anxious_name		Беспокойный	
statuseffect_demand_description		Требует новых карт каждые несколько лун	
statuseffect_demand_lore		Всегда хочет большего	
statuseffect_demand_name		Жадность	
statuseffect_sick_description		[damage] урон каждую [time]	
statuseffect_sick_lore		Им плохо... Вокруг слишком много какашек!	
statuseffect_sick_name		Больной	
label_shaman_intro_demon		"Вы победили демона, и у вас появилась идея создания гребной лодки"
label_shaman_intro_island		"Если вы хотите и дальше развивать свою деревню, вы можете посетить остров"
label_beta_thanks		Спасибо!
label_beta_text		Спасибо за помощь в тестировании Проклятых миров DLC!##If you want to jump right in to the new content, you can select Continue Run and start just after the demon was defeated. You can also start a brand new run by selecting Start New Run.##If you want to continue using an old save, copy it over to:#[saveDirectory]###Have fun! If you run into any issues, please let us know in the Stacklands Playtesters Discord!	
label_shaman_intro_cursed		"Если вы хотите узнать больше о посещении Проклятых миров, вы можете поговорить со мной"
label_shaman_intro_title		Шаман
card_cursed_wand_name		Проклятый жезл
card_cursed_wand_description		Он использует темную магию	
label_magic_description		Магия сильна против дальнего боя, но слаба против ближнего
label_melee_description		Ближний бой силен против магии, но слаб против дальнего боя	
label_ranged_description		Дальний бой силен против ближнего боя, но слаб против магии
label_different_mods		Этот файл сохранения использует другие моды, чем загруженный в данный момент. Для полной перезагрузки модов необходимо перезапустить игру
label_debug_need_villagers		Не нужны жители: [on_off]
label_restart_required		Требуется перезапуск	
label_restart		Перезапуск	
card_industrial_revolution_name		Промышленная революция	
card_industrial_revolution_description		Избыток 25 продуктов питания приведет к промышленной революции!	
card_ore_deposit_name		Месторождение руды	
card_ore_deposit_description		Здесь вы можете остановиться	
card_worker_name		Рабочий	
card_educated_worker_name		Образованный рабочий		
card_worker_description		Работа с 9 до 5	
card_educated_worker_description		Работайте умнее, а не больше	
card_lumber_deposit_name		Месторождение лесоматериалов	
card_lumber_deposit_description		Безделье в цифрах	
card_ore_deposit_status		Горная руда	
card_lumber_deposit_status		Сбор лесоматериалов	
card_farmland_name		Сельскохозяйственные угодья	
card_farmland_description		Дает зерно при сборе урожая	
card_farmland_status		Сельскохозяйственная продукция	
card_muesli_name		Мюсли
card_muesli_description		Зерновой завтрак: еда будущего	
pack_cities_ideas_text		Драгоценные ресурсы	
pack_cities_basics_text		Драгоценные ресурсы	
card_industrial_smelter_name		Промышленная плавильня
card_industrial_smelter_description		Используется для плавки руд	
card_industrial_smelter_status_0		Строительство промышленной плавильни	
card_apartment_name		Квартира	
card_apartment_description		Дешевые дома [amount] рабочих	
card_apartment_free_space		В настоящее время имеет [free] space(s)	
card_apartment_status_0		Строительство квартиры	
card_water_wheel_name		Водяное колесо	
card_water_wheel_description		Генерирует энергию из воды	
card_water_wheel_status_0		Конструирование водяного колеса
card_copper_ore_name		Медная руда	
card_copper_ore_description		Оранжевая скала		
card_copper_bar_name		Медный слиток	
card_copper_bar_description		Используется для создания современных зданий	
card_lightning_name		Молния	
card_lightning_description		Может мгновенно плавить руды	
card_rain_name		Дождь	
card_rain_description		Можно собирать для получения воды
card_sunshine_name		Солнечный свет	
card_sunshine_description		Лучше взять с собой солнцезащитный крем!	
card_wind_name		Ветер	
card_wind_description		Если бы только вы могли как-то использовать его энергию...	
card_water_pump_name		Водяной насос	
card_water_pump_description		Насос для откачки воды из земли
card_water_pump_status		Перекачивание воды	
card_water_pump_status_0		Конструирование водяного насоса	
card_energy_status_0		Генерация энергии	
cardtype_energy		Энергия	
label_debug_no_energy		Не использую энергию: [on_off]	
statuseffect_no_energy_description		Этому устройству нужна энергия. Перейдите в режим просмотра энергии, чтобы подключить его к сети	
statuseffect_no_energy_lore	Электрический гул БЗЗЗззззЗЗЗЗ
statuseffect_no_energy_name		Необходимая энергия	
pack_cities_intro_text		Промышленная революция	
statuseffect_no_workers_description		В этом здании не хватает работников	
statuseffect_no_workers_lore		Нехватка рабочей силы?	
statuseffect_no_workers_name		Требуются рабочие	
card_passive_energy_consumer_status		Потребление энергии	
card_plastic_name		Пластик	
card_plastic_description		Вы даже не успеете оглянуться, как окажетесь повсюду	
card_plastic_status_0		Изготовление пластика	
label_worker_inventory		Рабочие		
label_wellbeing		Благополучие	
card_gravel_deposit_name		Отложение гравия	
card_gravel_deposit_description		Месторождение гравия
card_gravel_deposit_status		Сбор гравия	
card_water_deposit_name		Месторождение воды	
card_water_deposit_description		Большое месторождение воды	
card_water_deposit_status		Сбор воды	
card_cement_name		Цемент	
card_cement_description		Влажная смесь для строительных конструкций	
card_cement_status_0		Смешивание цемента	
card_lumber_name		Древесина	
card_lumber_description		Незаменимый строительный материал	
card_lumber_status_0		Распиловка древесины
card_ten_dollar_name		10[icon]
card_ten_dollar_description		Десятка	
card_dollar_status_0		Конвертация денег	
card_twenty_dollar_name		20[icon]	
card_twenty_dollar_description		Двадцать баксов	
card_fifty_dollar_name		50[icon]
card_fifty_dollar_description		50 баксов	
card_hundred_dollar_name		100[icon]
card_hundred_dollar_description		На луну!	
pack_cities_deposit_text		Месторождение ресурсов	
quest_cities_welcome_text		Добро пожаловать в город	
quest_cities_open_pack_text		Откройте свой первый пакет города	
quest_cities_make_shack_text		Сделайте хижину для размещения рабочих	
questgroup_cities_starter		Начните свой город	
label_wellbeing_infobox_miserable		Жители несчастны! Измените ситуацию или потеряйте город...	
label_wellbeing_infobox_unhappy		Жители недовольны! Поднимите свое самочувствие, строя достопримечательности	
label_wellbeing_infobox_euphoric		Жители в эйфории!	
label_wellbeing_infobox_happy		Жители счастливы	
label_wellbeing_infobox_normal		Жители нейтральны	
label_wellbeing_infobox_gameover		Город в разрухе	
card_worker_homeless_text		Бездомный	
card_creditcard_name		Кредитная карта	
card_creditcard_description		Хранение денег	
card_creditcard_status_0		Создание кредитной карты	
questgroup_cities_automation		Поддерживайте порядок	
card_creditcard_description_long		Карта, на которой хранятся деньги. Взаимодействуйте, чтобы снять деньги. Содержит [count]/[max_count][icon]	
card_pollution_name		Загрязнение	
card_pollution_description		Оставляет неприятный запах	
quest_cities_make_treadmill_text		Сделайте колесо для хомяка	
label_city_state_euphoric		Эйфорический	
label_city_state_happy		Счастливый	
label_city_state_normal		Нормальный	
label_city_state_unhappy		Несчастный
label_city_state_miserable		Угрюмый	
label_city_state_gameover		Game Over	
statuseffect_homeless_description		Этот Рабочий бездомный. Найдите ему дом до конца луны, чтобы не потерять благополучие	
statuseffect_homeless_lore		На улицах...
statuseffect_homeless_name		Бездомный	
card_lightning_status		Выплавка руды	
card_rain_status		Сбор воды	
card_grain_name		Зерно	
card_grain_description		Основной ингредиент для приготовления пищи	
card_factory_name		Фабрика	
card_factory_description		Бьющееся сердце современной эпохи	
